ds,yhat,yhat_lower,yhat_upper
2018-09-05,5156.219494412432,-7340.465133673762,17839.688085630503
2018-09-06,4940.952337770494,-7579.273862962949,17091.980704867357
2018-09-07,4881.838975029801,-6447.4849778384905,17975.70690549076
2018-09-08,4798.681522939552,-7655.724407875211,16807.747069426285
2018-09-09,4754.032994369412,-7782.134173589997,15739.91795322307
2018-09-10,4818.8615331126875,-7182.092096822204,17609.44591047278
2018-09-11,4723.438992821137,-7798.2888249185235,17250.485191249914
2018-09-12,4856.413187907945,-7473.358883203126,16808.344795087625
2018-09-13,4723.118308796136,-8109.271943960626,16611.707731137874
2018-09-14,4743.628884669343,-7154.1726015389795,16995.612564706928
2018-09-15,4736.257695031836,-7382.132037947677,16812.040576486565
2018-09-16,4762.209977078835,-7934.407394095041,17153.30282437432
2018-09-17,4891.28643482874,-7045.11057172859,16984.340873033838
2018-09-18,4852.805037128435,-7644.193128563253,16618.163140896428
2018-09-19,5034.699890285367,-6956.473849215814,17713.58860293366
2018-09-20,4941.8508384400175,-6580.149020593627,17149.007219921477
2018-09-21,4994.148564908196,-7124.013053990069,17049.294562274
2018-09-22,5009.995234503471,-7826.783121626334,17133.341124799554
2018-09-23,5050.952922907151,-8137.497346909847,16919.227508211297
2018-09-24,5187.432502159701,-6207.272958018219,17407.172769368106
2018-09-25,5149.593392125326,-7713.362962408819,16568.14399491518
2018-09-26,5326.413133534933,-7044.046108072558,17106.939711142983
2018-09-27,5223.981332625268,-7489.433642466274,17207.49161485087
2018-09-28,5263.523847368875,-6314.311918452976,18356.932293456703
2018-09-29,5264.85851857689,-8027.9002117995715,18187.064205398543
2018-09-30,5290.996083124384,-6826.178569851342,17505.29598243973
2018-10-01,5413.780414879913,-6362.938270135906,16911.270778393216
2018-10-02,5364.740019658467,-6791.417160706357,18146.41419672706
2018-10-03,5534.111249521802,-5624.842019834835,18106.4805259597
2018-10-04,5429.089242852211,-7304.005220689742,17540.579249158945
2018-10-05,5471.813818114279,-7585.2328997268,17856.4822030584
2018-10-06,5482.7928418704805,-5896.805280063967,18140.980987643994
2018-10-07,5525.477746887317,-6973.673869606909,18189.32645389362
2018-10-08,5671.88617317888,-5900.820202191307,17449.573070013666
2018-10-09,5653.4442479668005,-6147.434945345593,19039.511068681255
